,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,ci96_lo,ci96_lo,ci96_lo,ci96_hi,ci96_hi,ci96_hi,mean,mean,mean,count,count,count,ci96_lo,ci96_lo,ci96_lo,ci96_hi,ci96_hi,ci96_hi,mean,mean,mean,count,count,count
,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean
hours,,,,,,,,,,,,,,,,,,,,,,,,
0,2.407455145333247,0.5851353515151947,2.319590904410383,3.831297786367021,2.0132561926024524,4.435528597936011,3.119376465850134,1.2991957720588236,3.3775597511731967,17,17,17,3.125617183734146,0.3296735396956546,3.3344205504765987,4.1822093701657055,1.6129045853043453,4.587187365417033,3.653913276949926,0.9712890624999999,3.9608039579468155,18,18,18
1,3.099560508213887,0.8600797778739954,3.1060767207717475,5.029031564942399,2.5142400750671814,5.346133254127301,4.064296036578143,1.6871599264705883,4.226104987449524,17,17,17,2.6223743743494388,0.06992754822041725,2.7623353655659386,3.469092041724307,1.118527312890694,3.8282150364130345,3.045733208036873,0.5942274305555556,3.2952752009894866,18,18,18
2,3.62672870919452,1.310896708028864,2.4716471909148923,5.706193988680441,2.966704394912312,4.343457032592692,4.666461348937481,2.138800551470588,3.4075521117537924,17,17,17,3.300165007855026,1.9974596334207286,1.5809868211817033,4.3136534017749,3.791490019357049,2.786207571726975,3.8069092048149633,2.8944748263888886,2.1835971964543393,18,18,18
3,3.725918750948295,1.5396902567013098,2.4211969103483573,5.695890729992691,2.5445652580045723,4.369024632814362,4.710904740470493,2.042127757352941,3.39511077158136,17,17,17,4.1107833198082595,2.3625419607965825,2.0226109934940992,5.01088849296303,4.615331303092306,3.2543834406431915,4.560835906385645,3.4889366319444446,2.6384972170686454,18,18,18
4,3.6979968997646946,0.6886070016870689,2.1777490083934374,4.969506831490191,1.7860345424305781,4.215039379689069,4.333751865627443,1.2373207720588235,3.196394194041253,17,17,17,3.476029987997439,1.710390520854077,2.0005815670701015,4.77152001871487,3.8801303124792557,3.7913912220455446,4.123775003356155,2.7952604166666664,2.895986394557823,18,18,18
5,2.6398829903244487,0.181787453992575,1.64339621390965,3.849799793783958,1.4451610754191897,3.2078097230105724,3.2448413920542034,0.8134742647058824,2.4256029684601113,17,17,17,3.0515845603585072,0.9559108474729731,2.5108785379133383,4.538517019271868,2.9223530414159162,4.408070132463904,3.7950507898151877,1.9391319444444446,3.459474335188621,18,18,18
