,id,Cluster,lag,no_derivatives,COB->IOB,IG->IOB,IOB->COB,IG->COB,IOB->IG,COB->IG
0,1,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,2,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2,1,0,3,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
3,1,1,1,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4,1,1,2,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
5,1,1,3,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
6,2,0,1,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,2,0,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,2,0,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,2,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,2,1,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
11,2,1,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,3,0,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
13,3,0,2,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
14,3,0,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15,3,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
16,3,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
17,3,1,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
18,4,0,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
19,4,0,2,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
20,4,0,3,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
21,4,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
22,4,1,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,4,1,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,5,0,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
25,5,0,2,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
26,5,0,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
27,5,1,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,5,1,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
29,5,1,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
30,6,0,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
31,6,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,6,0,3,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
33,6,1,1,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
34,6,1,2,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
